GarageNumb,Marsh,Graph,Smena,TimeNav,Latitude,Longitude,Speed,Azimuth
1123,37,30,1,14.11.202012:08:40,55.745683,49.20035,22,224
1123,37,30,1,14.11.202012:08:40,55.745683,49.20035,22,224
1123,37,30,1,14.11.202012:08:40,55.745683,49.20035,22,224
1123,37,30,1,14.11.202012:09:40,55.74305,49.19545,39,226
1123,37,30,1,14.11.202012:09:40,55.74305,49.19545,39,226
1123,37,30,1,14.11.202012:09:40,55.74305,49.19545,39,226
1123,37,30,1,14.11.202012:10:40,55.739883,49.189617,57,225
1123,37,30,1,14.11.202012:10:40,55.739883,49.189617,57,225
1123,37,30,1,14.11.202012:10:40,55.739883,49.189617,57,225
1123,37,30,1,14.11.202012:11:40,55.734717,49.180017,0,168
1123,37,30,1,14.11.202012:11:40,55.734717,49.180017,0,168
1123,37,30,1,14.11.202012:11:40,55.734717,49.180017,0,168
1123,37,30,1,14.11.202012:12:40,55.7342,49.179733,17,135
1123,37,30,1,14.11.202012:12:40,55.7342,49.179733,17,135
1123,37,30,1,14.11.202012:12:40,55.7342,49.179733,17,135
1123,37,30,1,14.11.202012:13:40,55.733583,49.183217,0,349
1123,37,30,1,14.11.202012:13:40,55.733583,49.183217,0,349
1123,37,30,1,14.11.202012:13:40,55.733583,49.183217,0,349
1123,37,30,1,14.11.202012:14:40,55.731867,49.18175,35,213
